Region,Latitude (generated),Longitude (generated)
Macedonia,41.636,21.676
Luxembourg,49.671,6.113
Lithuania,55.342,24.23
Liechtenstein,47.1593,9.547
Libya,27.24,17.571
Liberia,6.51,-9.33
Lesotho,-29.446,28.371
Lebanon,34.161,36.021
Latvia,57.017,25.0173
Laos,19.595,102.538
Kyrgyzstan,41.741,75.043
Kuwait,29.3169,47.4272
Kosovo,42.546,20.921
Kiribati,2.048,-158.59
Kenya,0.806,38.166
Kazakhstan,48.866,69.772
Jordan,30.681,36.279
Japan,35.962,137.855
Jamaica,18.163,-77.477
Ivory Coast,7.497,-5.336
Italy,44.3713,11.1084
Israel,30.992,34.834
Ireland,53.214,-7.588
Iraq,33.545,43.278
Iran,33.408,54.0418
Indonesia,-0.739,114.045
Individual Olympic Athletes,,
India,22.741,78.236
Iceland,64.826,-18.417
Hungary,47.174,19.618
Honduras,14.881,-87.123
Haiti,19.3175,-72.4205
Guyana,5.17,-58.939
Guinea-Bissau,12.191,-14.475
Guinea,10.599,-10.907
Guatemala,15.124,-90.711
Guam,13.45,144.7579
Grenada,12.111,-61.6867
Greece,39.787,21.617
Ghana,7.258,-1.062
Germany,51.3819,9.9877
Georgia,42.05,43.576
Gambia,13.499,-14.641
Gabon,-0.406,11.914
France,46.656,2.543
Finland,62.716,26.192
Fiji,-17.7941,177.9783
Ethiopia,8.435,38.786
Estonia,58.777,25.977
Eritrea,15.982,38.02
Equatorial Guinea,1.6342,10.4695
El Salvador,13.848,-89.229
Egypt,26.16,28.742
Ecuador,-1.151,-78.308
Dominican Republic,19.01,-70.1685
Dominica,15.4238,-61.3411
Djibouti,11.41,42.165
Denmark,56.113,9.096
Democratic Republic of the Congo,-1.418,23.607
Czech Republic,49.848,15.2812
Cyprus,34.894,32.928
Curacao,12.2129,-69.0407
Cuba,20.571,-76.456
Croatia,45.754,16.385
Costa Rica,10.126,-84.075
Cook Islands,-21.202,-159.82
Comoros,-11.6527,43.3307
Colombia,3.794,-73.606
China,35.1753,99.3877
Chile,-23.176,-69.201
Chad,15.981,18.781
Central African Republic,7.043,21.424
Cayman Islands,19.3299,-81.1715
Cape Verde,15.416,-23.36
Canada,59.2067,-111.1937
Cameroon,4.4,12.131
Cambodia,12.69,104.444
Burundi,-3.333,29.749
Burkina Faso,12.673,-1.226
Bulgaria,42.625,24.521
Brunei,4.452,114.557
Brazil,-11.694,-48.978
Botswana,-22.126,23.662
Bosnia and Herzegovina,44.342,17.804
Boliva,,
Bhutan,27.5342,90.3002
Bermuda,32.3019,-64.7737
Benin,10.478,2.274
Belize,17.108,-88.744
Belgium,50.6745,4.4588
Belarus,53.3292,27.9492
Barbados,13.1898,-59.559
Bangladesh,24.598,90.1963
Bahrain,26.025,50.5534
Bahamas,24.7032,-78.0455
Azerbaijan,40.46,47.883
Austria,47.65,14.705
Australia,-24.578,133.582
Aruba,12.5176,-69.9818
Armenia,40.56,44.449
Argentina,-33.166,-64.31
Antigua,17.625,-61.786
Angola,-12.836,17.808
Andorra,42.5425,1.5893
American Samoa,-14.3018,-170.7511
Algeria,28.6045,2.64
Albania,40.654,20.076
Afghanistan,34.023,65.5267
